number,start_date,title,subject
2021Z05927,2021-04-13,Dierenwelzijn,Motie van het lid Wassenberg over geen uitzonderingen op het gebruik van stroomstootapparatuur
2021Z13420,2021-07-07,Dierenwelzijn,Motie van de leden Vestering en Beckerman over zorgen dat camerabeelden uit slachthuizen eigendom worden van de overheid 
2021Z05929,2021-04-13,Dierenwelzijn,Motie van de leden Bisschop en Van der Plas over een uitzondering voor laag energetische halsbanden
2021Z10743,2021-06-14,Dierenwelzijn,Gewijzigde motie van de leden Beckerman en Boswijk over een onderzoek naar een verbod op het doden van haantjes (t.v.v. 28286-1189)  
2021Z10427,2021-06-09,Dierenwelzijn,Motie van het lid Van der Plas over een impactanalyse van de wetswijziging voor de handhaafbaarheid
2021Z10757,2021-06-14,Dierenwelzijn,Gewijzigde motie van het lid Van der Plas over een impactanalyse van de wetswijziging voor de handhaafbaarheid (t.v.v. 28286-1193)
2021Z16632,2021-09-28,Dierenwelzijn,Motie van het lid Graus over exportverzamelplaatsen van toezichtcamera's voorzien 
2021Z13422,2021-07-07,Dierenwelzijn,Motie van de leden Van der Plas en Van Haga over uiterlijk 1 oktober 2021 capaciteit bij de NVWA beschikbaar maken voor de inzet van Mobiele Dodingsunits
2021Z05928,2021-04-13,Dierenwelzijn,Motie van het lid Wassenberg over een gezamenlijke trainingsschool voor overheidshonden
2021Z10416,2021-06-09,Dierenwelzijn,Motie van het lid Vestering over diergedragsdeskundigen betrekken bij de invulling van de open normen in de Wet dieren 
2021Z10418,2021-06-09,Dierenwelzijn,Motie van de leden Beckerman en Vestering over een verbod op het doden van haantjes 
2021Z05924,2021-04-13,Dierenwelzijn,Motie van het lid Graus over een verbod op alle dieronvriendelijke hulp- en trainingsmiddelen
2021Z10417,2021-06-09,Dierenwelzijn,Motie van de leden Vestering en Tjeerd de Groot over voorbereidingen treffen voor een tussenevaluatie van de Wet dieren
2021Z05931,2021-04-13,Dierenwelzijn,Motie van het lid Beckerman over het verbieden of uitfaseren van de verkoop van stroomstootapparatuur
2021Z13419,2021-07-07,Dierenwelzijn,Motie van de leden Vestering en Beckerman over een verbod op het gebruik van drijfmiddelen die pijn of stress kunnen veroorzaken bij dieren
2021Z16629,2021-09-28,Dierenwelzijn,Motie van het lid Van der Plas over geen euthanasie van slachtwaardige varkens 
2021Z17045,2021-10-03,Dierenwelzijn,Gewijzigde motie van het lid Van der Plas over afspraken met buitenlandse veterinaire autoriteiten over terugkoppeling van klachten over niet-transportwaardige dieren (t.v.v. 28286-1223)
2021Z10424,2021-06-09,Dierenwelzijn,Motie van het lid Van Campen c.s. over het Besluit houders van dieren als grondslag en kader hanteren bij de uitwerking van het amendement 
2021Z16630,2021-09-28,Dierenwelzijn,Motie van het lid Van der Plas over aanpassing van de procedure voor het door de NVWA constateren van een strafbaar feit 
2021Z13430,2021-07-07,Dierenwelzijn,Gewijzigde motie van het lid Van der Plas over niet later dan 1 januari 2022 capaciteit bij de NVWA beschikbaar maken voor de inzet van Mobiele Dodingsunits (t.v.v. 28286-1205)
2021Z16627,2021-09-28,Dierenwelzijn,"Motie van het lid Vestering over consumenten laten zien hoe dieren eruitzien na hun leven lang vlees, eieren en zuivel geproduceerd te hebben "
2021Z10425,2021-06-09,Dierenwelzijn,Motie van het lid Van Campen over europeesrechtelijke kaders en het EVRM in relatie tot eigendomsrechten meenemen bij analyse van de Wet dieren 
2021Z13421,2021-07-07,Dierenwelzijn,Motie van het lid Tjeerd de Groot over het installeren van slimme camera’s als voorwaarde voor heropening van slachterij Gosschalk 
2021Z05930,2021-04-13,Dierenwelzijn,Motie van de leden Bisschop en Van der Plas over geen verbod op elektronische erfafscheiding
2021Z10419,2021-06-09,Dierenwelzijn,Motie van het lid Beckerman over een onderzoek naar een verbod op het doden van haantjes
2021Z10426,2021-06-09,Dierenwelzijn,Motie van het lid Van der Plas c.s. over wetenschappelijk vaststellen wat wordt verstaan onder natuurlijk gedrag van gedomesticeerde dieren 
2021Z16631,2021-09-28,Dierenwelzijn,Motie van het lid Van der Plas over afspraken met buitenlandse veterinaire autoriteiten over terugkoppeling van klachten over niet-transportwaardige dieren 
2021Z05926,2021-04-13,Dierenwelzijn,Motie van het lid Wassenberg over een verbod op de verkoop van stroomhalsbanden
2021Z17043,2021-10-03,Dierenwelzijn,Gewijzigde motie van het lid Van der Plas over aanpassing van de procedure voor het door de NVWA constateren van een strafbaar feit (t.v.v. 28286-1222)
