number,title,subject,start_date
2011Z26282,Landbouw- en Visserijraad,Motie Ouwehand over een verbod op het doodmartelen van zwerfdieren ,2011-12-13
2015Z23547,Vaststelling van de begrotingsstaten van het Ministerie van Economische Zaken (XIII) en het Diergezondheidsfonds (F) voor het jaar 2016,Motie van het lid Van Gerven over belastingvoordeel voor proefdiervrij beleggen en sparen,2015-12-02
2018Z24445,Geestelijke gezondheidszorg,Motie van het lid Diertens c.s. over de veiligheidsregio's als uitgangspunt nemen,2018-12-19
2020Z24259,Dierenwelzijn,Motie van het lid Graus over een nationale 144 Dierenambulanceorganisatie,2020-12-07
2015Z17094,Dierenwelzijn,Motie van het lid Graus over een verplichte meldcode bij constatering van dierenmishandeling,2015-09-21
2013Z23733,Dierenwelzijn,Motie van het lid Ouwehand over elektrische verdoving van ongewervelde dieren ,2013-12-01
2014Z05172,Landbouw- en Visserijraad,Motie van de leden Thieme en Ouwehand over verzet tegen de Europese versoepeling van certificeringseisen voor diertransporten,2014-03-19
200704054,"Raming der voor de Tweede Kamer in 2009 benodigde uitgaven, alsmede aanwijzing en raming van de ontvangsten",Dierenwelzijn in het inkoop- en aanbestedingsbeleid,2008-06-22
2010Z13487,Schoon en zuinig,Motie De Mos en Graus over samenhang tussen dierenleed en groei van windmolenparken ,2010-09-22
2017Z11590,Dierenwelzijn,Motie van het lid Buitenweg over verbetering van de opvang van dieren van geweldslachtoffers,2017-09-05
2012Z02747,Evaluatie Wet op de dierproeven,"Gew motieOuwehand c.s. (t.v.v. nr. 40), over commerciële fokkers van proefdieren",2012-02-13
2012Z20418,Dierenwelzijn,Motie van het lid Ouwehand over het voortbestaan van dierenopvangcentra ,2012-11-26
2018Z15944,Landbouw- en Visserijraad,Motie van het lid Ouwehand over dierentransport over grote afstanden,2018-09-12
2020Z13423,"Jaarverslag en slotwet Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds 2019",Motie van het lid Ouwehand over uitspreken dat vervroegd afvoeren naar de slacht en onthouden van voedsel geen diervriendelijke maatregelen zijn tegen hittestress,2020-07-01
2014Z05571,Voedingsbeleid,"Gewijzigde motie van de leden Van Gerven en Van Dekken (t.v.v. 31532, nr. 125) over opnemen van de voordelen voor het dier in de beleidsregels voor de NMA (ACM)",2014-03-25
2015Z17096,Dierenwelzijn,"Motie van het lid Graus over een module ""herkenning dierenmishandeling"" voor de Faculteit voor Diergeneeskunde ",2015-09-21
