year,marital,age,educ,sex,polviews,happy,health,realinc
1972,5,23,16,2,,3,2,18951
1972,1,70,10,1,,3,3,24366
1972,1,48,12,2,,2,1,24366
1972,1,27,17,2,,3,2,30458
1972,1,61,12,2,,2,2,50763
1972,5,26,14,1,,2,2,43994
1972,3,28,13,1,,3,1,37226
1972,5,27,16,1,,3,2,13537
1972,5,21,12,2,,2,1,2707
1972,1,30,12,2,,2,3,18951
1972,1,30,13,2,,2,2,13537
1972,1,56,6,1,,2,3,13537
1972,1,54,9,1,,2,1,13537
1972,3,49,8,2,,3,2,13537
1972,1,41,9,1,,1,1,18951
1972,1,54,14,1,,3,2,13537
1972,1,24,14,1,,1,3,24366
1972,1,62,8,2,,1,3,18951
1972,1,46,17,2,,1,1,43994
1972,5,21,14,2,,1,2,50763
1972,1,57,12,1,,1,2,37226
1972,1,58,11,1,,1,2,60915
1972,1,21,13,1,,1,2,13537
1972,1,26,12,2,,1,2,18951
1972,1,71,16,2,,2,1,30458
1972,1,53,12,2,,1,1,30458
1972,1,42,12,1,,2,1,30458
1972,1,42,12,2,,2,2,30458
1972,1,20,12,1,,2,1,
1972,1,23,9,1,,2,3,30458
1972,1,26,6,1,,2,2,24366
1972,1,25,14,2,,1,1,24366
1972,5,26,16,1,,2,1,30458
1972,1,78,8,2,,1,1,2707
1972,1,21,12,1,,1,2,13537
1972,1,27,14,1,,3,1,30458
1972,1,58,13,2,,1,1,50763
1972,1,35,10,2,,2,2,30458
1972,5,58,6,1,,3,3,18951
1972,1,51,12,2,,2,2,13537
1972,2,76,8,2,,1,1,2707
1972,1,53,14,1,,3,3,30458
1972,1,39,8,1,,2,2,13537
1972,1,64,8,2,,1,2,18951
1972,1,50,8,2,,2,2,74452
1972,1,27,12,2,,1,1,
1972,5,25,14,1,,2,2,60915
1972,1,49,12,1,,2,2,18951
1972,1,40,9,1,,1,1,30458
1972,1,43,8,1,,2,2,60915
1972,1,46,10,1,,2,2,13537
1972,1,37,14,1,,1,2,30458
1972,1,46,9,1,,1,2,18951
1972,1,22,12,2,,1,1,30458
1972,1,53,10,2,,1,1,43994
1972,1,35,12,1,,2,1,37226
1972,1,31,14,2,,2,2,60915
1972,1,30,12,2,,2,2,37226
1972,1,37,12,2,,1,2,37226
1972,1,57,11,2,,1,2,60915
1972,1,39,12,1,,1,2,13537
1972,1,62,9,2,,2,3,13537
1972,1,51,12,1,,2,3,13537
1972,1,43,11,1,,2,1,13537
1972,1,39,12,1,,1,1,30458
1972,1,52,8,2,,2,4,24366
1972,1,30,12,1,,2,1,30458
1972,1,47,12,2,,1,3,
1972,5,31,12,2,,2,2,30458
1972,1,25,16,1,,2,1,18951
1972,1,45,7,1,,2,2,43994
1972,1,30,12,2,,2,1,24366
1972,1,68,8,1,,2,3,8122
1972,1,63,11,2,,3,1,24366
1972,5,19,12,1,,2,2,43994
1972,5,23,16,1,,2,1,37226
1972,1,46,10,2,,2,3,43994
1972,2,55,8,2,,3,1,24366
1972,5,22,14,1,,1,2,74452
1972,5,55,12,2,,2,3,30458
