id,topic,options,option,label,variant,symmetrical
1,Disagree - Agree,2,1,Disagree,,2
1,Disagree - Agree,2,2,Agree,,2
2,Disagree - Agree,3,1,Disagree,,2
2,Disagree - Agree,3,2,Neither agree nor disagree,Neutral,2
2,Disagree - Agree,3,3,Agree,,2
3,Disagree - Agree,4,1,Strongly disagree,,2
3,Disagree - Agree,4,2,Disagree,,2
3,Disagree - Agree,4,3,Agree,,2
3,Disagree - Agree,4,4,Strongly agree,,2
4,Disagree - Agree,5,1,Strongly disagree,,2
4,Disagree - Agree,5,2,Disagree,,2
4,Disagree - Agree,5,3,Neither agree nor disagree,Neutral,2
4,Disagree - Agree,5,4,Agree,,2
4,Disagree - Agree,5,5,Strongly agree,,2
5,Disagree - Agree,6,1,Strongly disagree,,2
5,Disagree - Agree,6,2,Disagree,,2
5,Disagree - Agree,6,3,Slightly disagree	,Somewhat disagree,2
5,Disagree - Agree,6,4,Slightly agree,Somewhat agree,2
5,Disagree - Agree,6,5,Agree,,2
5,Disagree - Agree,6,6,Strongly agree,,2
6,Disagree - Agree,7,1,Strongly disagree,,2
6,Disagree - Agree,7,2,Disagree,,2
6,Disagree - Agree,7,3,Slightly disagree	,Somewhat disagree,2
6,Disagree - Agree,7,4,Neither agree nor disagree,Neutral,2
6,Disagree - Agree,7,5,Slightly agree,Somewhat agree,2
6,Disagree - Agree,7,6,Agree,,2
6,Disagree - Agree,7,7,Strongly agree,,2
7,Disagree - Agree,8,1,Very strongly disagree,,2
7,Disagree - Agree,8,2,Strongly disagree,,2
7,Disagree - Agree,8,3,Disagree,,2
7,Disagree - Agree,8,4,Slightly disagree	,Somewhat disagree,2
7,Disagree - Agree,8,5,Slightly agree,Somewhat agree,2
7,Disagree - Agree,8,6,Agree,,2
7,Disagree - Agree,8,7,Strongly agree,,2
7,Disagree - Agree,8,8,Very strongly agree,,2
8,Disagree - Agree,9,1,Very strongly disagree,,2
8,Disagree - Agree,9,2,Strongly disagree,,2
8,Disagree - Agree,9,3,Disagree,,2
8,Disagree - Agree,9,4,Slightly disagree	,Somewhat disagree,2
8,Disagree - Agree,9,5,Neither agree nor disagree,Neutral,2
8,Disagree - Agree,9,6,Slightly agree,Somewhat agree,2
8,Disagree - Agree,9,7,Agree,,2
8,Disagree - Agree,9,8,Strongly agree,,2
8,Disagree - Agree,9,9,Very strongly agree,,2
9,Disagree - Agree,10,1,Very strongly disagree,,2
9,Disagree - Agree,10,2,Strongly disagree,,2
9,Disagree - Agree,10,3,Disagree,,2
9,Disagree - Agree,10,4,Mostly disagree,,2
9,Disagree - Agree,10,5,Slightly disagree	,Somewhat disagree,2
9,Disagree - Agree,10,6,Slightly agree,Somewhat agree,2
9,Disagree - Agree,10,7,Mostly agree,,2
9,Disagree - Agree,10,8,Agree,,2
9,Disagree - Agree,10,9,Strongly agree,,2
9,Disagree - Agree,10,10,Very strongly agree,,2
10,Disagree - Agree,11,1,Very strongly disagree,,2
10,Disagree - Agree,11,2,Strongly disagree,,2
10,Disagree - Agree,11,3,Disagree,,2
10,Disagree - Agree,11,4,Mostly disagree,,2
10,Disagree - Agree,11,5,Slightly disagree	,Somewhat disagree,2
10,Disagree - Agree,11,6,Neither agree nor disagree,Neutral,2
10,Disagree - Agree,11,7,Slightly agree,Somewhat agree,2
10,Disagree - Agree,11,8,Mostly agree,,2
10,Disagree - Agree,11,9,Agree,,2
10,Disagree - Agree,11,10,Strongly agree,,2
10,Disagree - Agree,11,11,Very strongly agree,,2
11,Dissatisfied - Satisfied,5,1,Extremely dissatisfied,,2
11,Dissatisfied - Satisfied,5,2,Somewhat dissatisfied,,2
11,Dissatisfied - Satisfied,5,3,Neither satisfied nor dissatisfied,,2
11,Dissatisfied - Satisfied,5,4,Somewhat satisfied,,2
11,Dissatisfied - Satisfied,5,5,Extremely satisfied,,2
12,Dissatisfied - Satisfied,7,1,Extremely dissatisfied,,2
12,Dissatisfied - Satisfied,7,2,Moderately dissatisfied,,2
12,Dissatisfied - Satisfied,7,3,Slightly dissatisfied,,2
12,Dissatisfied - Satisfied,7,4,Neither satisfied nor dissatisfied,,2
12,Dissatisfied - Satisfied,7,5,Slightly satisfied,,2
12,Dissatisfied - Satisfied,7,6,Moderately satisfied,,2
12,Dissatisfied - Satisfied,7,7,Extremely satisfied,,2
13,Inappropriate - Appropriate,5,1,Extremely inappropriate,,2
13,Inappropriate - Appropriate,5,2,Somewhat inappropriate,,2
13,Inappropriate - Appropriate,5,3,Neither appropriate nor inappropriate,,2
13,Inappropriate - Appropriate,5,4,Somewhat appropriate,,2
13,Inappropriate - Appropriate,5,5,Extremely appropriate,,2
14,Inappropriate - Appropriate,7,1,Extremely inappropriate,,2
14,Inappropriate - Appropriate,7,2,Moderately inappropriate,,2
14,Inappropriate - Appropriate,7,3,Slightly inappropriate,,2
14,Inappropriate - Appropriate,7,4,Neither appropriate nor inappropriate,,2
14,Inappropriate - Appropriate,7,5,Slightly appropriate,,2
14,Inappropriate - Appropriate,7,6,Moderately appropriate,,2
14,Inappropriate - Appropriate,7,7,Extremely appropriate,,2
15,True - False,2,1,True,,2
15,True - False,2,2,False,,2
16,True - False,3,1,True,,2
16,True - False,3,2,Neither true nor false,,2
16,True - False,3,3,False,,2
17,True - False,4,1,Definitely false,,2
17,True - False,4,2,Probably false,,2
17,True - False,4,3,Probably true,,2
17,True - False,4,4,Definitely true,,2
18,True - False,5,1,Definitely false,,2
18,True - False,5,2,Probably false,,2
18,True - False,5,3,Neither true nor false,,2
18,True - False,5,4,Probably true,,2
18,True - False,5,5,Definitely true,,2
19,Yes - No,2,1,Yes,,2
19,Yes - No,2,2,No,,2
20,Yes - No,3,1,Yes,,2
20,Yes - No,3,2,Maybe,,2
20,Yes - No,3,3,No,,2
21,Yes - No,4,1,Definitely not,,2
21,Yes - No,4,2,Probably not,,2
21,Yes - No,4,3,Probably yes,,2
21,Yes - No,4,4,Definitely yes,,2
22,Yes - No,5,1,Definitely not,,2
22,Yes - No,5,2,Probably not,,2
22,Yes - No,5,3,Might or might not,,2
22,Yes - No,5,4,Probably yes,,2
22,Yes - No,5,5,Definitely yes,,2
23,Below average - Above average,2,1,Below average,,2
23,Below average - Above average,2,2,Above average,,2
24,Below average - Above average,3,1,Below average,,2
24,Below average - Above average,3,2,Average,,2
24,Below average - Above average,3,3,Above average,,2
25,Below average - Above average,5,1,Far below average,,2
25,Below average - Above average,5,2,Somewhat below average,,2
25,Below average - Above average,5,3,Average,,2
25,Below average - Above average,5,4,Somewhat above average,,2
25,Below average - Above average,5,5,Far above average,,2
26,Below average - Above average,7,1,Far below average,,2
26,Below average - Above average,7,2,Moderately below average,,2
26,Below average - Above average,7,3,Slightly below average,,2
26,Below average - Above average,7,4,Average,,2
26,Below average - Above average,7,5,Slightly above average,,2
26,Below average - Above average,7,6,Moderately above average,,2
26,Below average - Above average,7,7,Far above average,,2
27,Worse - Better,5,1,Much worse,,2
27,Worse - Better,5,2,Somewhat worse,,2
27,Worse - Better,5,3,About the same,,2
27,Worse - Better,5,4,Somewhat better,,2
27,Worse - Better,5,5,Much better,,2
28,Worse - Better,7,1,Much worse,,2
28,Worse - Better,7,2,Moderately worse,,2
28,Worse - Better,7,3,Slightly worse,,2
28,Worse - Better,7,4,About the same,,2
28,Worse - Better,7,5,Slightly better,,2
28,Worse - Better,7,6,Moderately better,,2
28,Worse - Better,7,7,Much better,,2
29,Difficult - Easy,5,1,Extremely difficult,,2
29,Difficult - Easy,5,2,Somewhat difficult,,2
29,Difficult - Easy,5,3,Neither easy nor difficult,,2
29,Difficult - Easy,5,4,Somewhat easy,,2
29,Difficult - Easy,5,5,Extremely easy,,2
30,Difficult - Easy,7,1,Extremely difficult,,2
30,Difficult - Easy,7,2,Moderately difficult,,2
30,Difficult - Easy,7,3,Slightly difficult,,2
30,Difficult - Easy,7,4,Neither easy nor difficult,,2
30,Difficult - Easy,7,5,Slightly easy,,2
30,Difficult - Easy,7,6,Moderately easy,,2
