"Slachtdieren";"Perioden";"Aantal slachtingen (x 1 000)"
"Rundvee (totaal)";"1990 januari";193,7
"Rundvee (totaal)";"1990 februari";160,2
"Rundvee (totaal)";"1990 maart";189,9
"Rundvee (totaal)";"1990 april";174,3
"Rundvee (totaal)";"1990 mei";201,4
"Rundvee (totaal)";"1990 juni";172,3
"Rundvee (totaal)";"1990 juli";164,5
"Rundvee (totaal)";"1990 augustus";180,4
"Rundvee (totaal)";"1990 september";185,9
"Rundvee (totaal)";"1990 oktober";219,6
"Rundvee (totaal)";"1990 november";211,9
"Rundvee (totaal)";"1990 december";196
"Rundvee (totaal)";"1990";2250,1
"Rundvee (totaal)";"1991 januari";214
"Rundvee (totaal)";"1991 februari";190,5
"Rundvee (totaal)";"1991 maart";206
"Rundvee (totaal)";"1991 april";215,1
"Rundvee (totaal)";"1991 mei";229,2
"Rundvee (totaal)";"1991 juni";197,5
"Rundvee (totaal)";"1991 juli";199,9
"Rundvee (totaal)";"1991 augustus";204,7
"Rundvee (totaal)";"1991 september";225,6
"Rundvee (totaal)";"1991 oktober";244,6
"Rundvee (totaal)";"1991 november";223
"Rundvee (totaal)";"1991 december";218,2
"Rundvee (totaal)";"1991";2568,3
"Rundvee (totaal)";"1992 januari";233,8
"Rundvee (totaal)";"1992 februari";207,5
"Rundvee (totaal)";"1992 maart";229,8
"Rundvee (totaal)";"1992 april";215,5
"Rundvee (totaal)";"1992 mei";215,4
"Rundvee (totaal)";"1992 juni";220,3
"Rundvee (totaal)";"1992 juli";200,4
"Rundvee (totaal)";"1992 augustus";194,7
"Rundvee (totaal)";"1992 september";223,9
"Rundvee (totaal)";"1992 oktober";209,9
"Rundvee (totaal)";"1992 november";217,3
"Rundvee (totaal)";"1992 december";227,8
"Rundvee (totaal)";"1992";2596,3
"Rundvee (totaal)";"1993 januari";198,8
"Rundvee (totaal)";"1993 februari";192,5
"Rundvee (totaal)";"1993 maart";234,7
"Rundvee (totaal)";"1993 april";205,8
"Rundvee (totaal)";"1993 mei";196,7
"Rundvee (totaal)";"1993 juni";219,4
"Rundvee (totaal)";"1993 juli";179,8
"Rundvee (totaal)";"1993 augustus";193,5
"Rundvee (totaal)";"1993 september";214,2
"Rundvee (totaal)";"1993 oktober";202,5
"Rundvee (totaal)";"1993 november";226,3
"Rundvee (totaal)";"1993 december";222,5
"Rundvee (totaal)";"1993";2486,7
"Rundvee (totaal)";"1994 januari";200,9
"Rundvee (totaal)";"1994 februari";186,8
"Rundvee (totaal)";"1994 maart";225,5
"Rundvee (totaal)";"1994 april";202,2
"Rundvee (totaal)";"1994 mei";208,4
"Rundvee (totaal)";"1994 juni";204,9
"Rundvee (totaal)";"1994 juli";166,8
"Rundvee (totaal)";"1994 augustus";201,2
"Rundvee (totaal)";"1994 september";213,3
"Rundvee (totaal)";"1994 oktober";211,3
"Rundvee (totaal)";"1994 november";223,6
"Rundvee (totaal)";"1994 december";212,4
"Rundvee (totaal)";"1994";2457,3
"Rundvee (totaal)";"1995 januari";202,9
"Rundvee (totaal)";"1995 februari";181,7
"Rundvee (totaal)";"1995 maart";207
"Rundvee (totaal)";"1995 april";174,5
"Rundvee (totaal)";"1995 mei";215,3
"Rundvee (totaal)";"1995 juni";189,4
"Rundvee (totaal)";"1995 juli";159,1
"Rundvee (totaal)";"1995 augustus";195,4
"Rundvee (totaal)";"1995 september";206,9
"Rundvee (totaal)";"1995 oktober";223,2
"Rundvee (totaal)";"1995 november";221,4
"Rundvee (totaal)";"1995 december";201,8
"Rundvee (totaal)";"1995";2378,6
"Rundvee (totaal)";"1996 januari";206,8
"Rundvee (totaal)";"1996 februari";183,3
"Rundvee (totaal)";"1996 maart";189,1
"Rundvee (totaal)";"1996 april";146,8
"Rundvee (totaal)";"1996 mei";204,6
"Rundvee (totaal)";"1996 juni";186,5
"Rundvee (totaal)";"1996 juli";210,5
"Rundvee (totaal)";"1996 augustus";194,9
"Rundvee (totaal)";"1996 september";213,7
"Rundvee (totaal)";"1996 oktober";225,5
"Rundvee (totaal)";"1996 november";214,6
"Rundvee (totaal)";"1996 december";224,1
