section,label,year,content
name,,,Willem W.A. Sleegers
description,,,Assistant Professor in Social Psychology
contact,E-mail,,w.w.a.sleegers@tilburguniversity.edu
contact,Google Scholar,,https://scholar.google.nl/citations?user=EgqxL0MAAAAJ&hl=en
contact,Github,,github.com/willemsleegers
contact,Twitter,,twitter.com/willemsleegers
currently,,,"I’m an Assistant Professor in the Social Psychology department of Tilburg University. Here I largely perform research on the topic of false beliefs using experimental techniques, physiological tools, and big data. I also teach courses related to social psychology and supervise students."
employment,Academic,2018-current,Tenure track Assistant Professor in social psychology at Tilburg University
employment,Academic,2016-2018,Fixed term Assistant Professor in social psychology at Tilburg University
employment,Academic,2012-2016,Graduate student on the topic of physiological arousal in meaning maintenance 
employment,Academic,2011-2012,Student assistant during my Research Master: Behavioral Science at Nijmegen University
employment,Non-academic,2012-2013,Programmer of experimental psychology tasks for FrieslandCampina
employment,Non-academic,2007-2010,Media analyst for Report International
education,,2012-2016,Graduate student at Tilburg University supervised by prof. dr. Ilja van Beest and dr. Travis Proulx (degree awarded cum laude)
education,,2012-2016,Student member of the Kurt Lewin Institute (KLI)
education,,2010-2012,Research Master Behavioural Science at Nijmegen University (degree awarded cum laude)
education,,2010-2012,Expert track in data-analysis
education,,2007-2010,Psychology BSc. at Nijmegen University (degree awarded cum laude)
education,,2007-2010,Honours Program of Psychology at Nijmegen University
publications,Journals,,"Bender, M., van Osch, Y., Sleegers, W., & Ye, M. (2019). Social support benefits psychological adjustment of international students: Evidence from a meta-analysis. Journal of Cross-Cultural Psychology. https://doi.org/10.1177/0022022119861151"
publications,Journals,,"van ’t Veer, A. E., Sleegers, W. W. A. (2019). Psychology data from an exploration of the effect of anticipatory stress on disgust vs. non-disgust related moral judgments. Journal of Psychology Data, 7(1), 1. https://doi.org/10.5334/jopd.43"
publications,Journals,,"Jaeger, B., Sleegers, W.W.A., Evans, A. M., Stel, M., & van Beest, I. (2018). The effects of facial attractiveness and trustworthiness in online peer-to-peer markets. Journal of Economic Psychology. https://doi.org/10.1016/j.joep.2018.11.004"
